Region,Date,Segment,Country,Currency,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit
APAC,2022-03-01,Midmarket,Japan,JPY,Montana,High,269,250,300,80700,11298,69402,67250,2152
APAC,2022-03-01,Government,China,CNY,Carretera,High,1743,260,15,26145,3660.3,22484.7,17430,5054.7
APAC,2022-03-01,Government,China,CNY,Paseo,High,267,10,20,5340,801,4539,2670,1869
APAC,2022-03-01,Small Business,China,CNY,Amarilla,High,267,250,20,5340,801,4539,2670,1869
APAC,2022-04-01,Channel Partners,Japan,JPY,Amarilla,None,1725,10,350,603750,0,603750,448500,155250
APAC,2022-04-01,Small Business,Japan,JPY,Montana,Low,912,10,12,10944,0,10944,2736,8208
APAC,2022-04-01,Government,Japan,JPY,Paseo,Low,2092,120,7,14644,146.44,14497.56,10460,4037.56
APAC,2022-04-01,Government,China,CNY,VTT,Low,1265,250,20,25300,1265,24035,12650,11385
APAC,2022-04-01,Enterprise,China,CNY,Carretera,Low,263,3,7,1841,110.46,1730.54,1315,415.54
APAC,2022-04-01,Government,China,CNY,Velo,Low,1404,10,300,421200,29484,391716,351000,40716
APAC,2022-04-01,Small Business,China,CNY,Montana,Medium,1804,5,125,225500,22550,202950,216480,-13530
APAC,2022-04-01,Midmarket,Japan,JPY,Paseo,Medium,1560,3,15,23400,2574,20826,15600,5226
APAC,2022-04-01,Government,Japan,JPY,VTT,Medium,2935,250,20,58700,6457,52243,29350,22893
APAC,2022-04-01,Enterprise,Japan,JPY,Carretera,High,2548,260,15,38220,4586.4,33633.6,25480,8153.6
APAC,2022-04-01,Channel Partners,China,CNY,Amarilla,High,2222,10,12,26664,3732.96,22931.04,6666,16265.04
APAC,2022-04-01,Government,Japan,JPY,Velo,High,2007,10,350,702450,105367.5,597082.5,521820,75262.5
APAC,2022-04-01,Midmarket,China,CNY,Paseo,High,2574,120,300,772200,115830,656370,643500,12870
APAC,2022-04-01,Government,China,CNY,Paseo,High,2954,250,125,369250,55387.5,313862.5,354480,-40617.5
APAC,2022-05-01,Government,China,CNY,Carretera,Low,345,5,125,43125,0,43125,41400,1725
APAC,2022-05-01,Small Business,Japan,JPY,Paseo,Low,345,120,125,43125,0,43125,41400,1725
APAC,2022-05-01,Government,Japan,JPY,Paseo,Medium,663,5,125,82875,828.75,82046.25,79560,2486.25
APAC,2022-05-01,Midmarket,China,CNY,Velo,Medium,663,120,125,82875,828.75,82046.25,79560,2486.25
APAC,2022-05-01,Small Business,China,CNY,Paseo,Medium,2851,3,7,19957,798.28,19158.72,14255,4903.72
APAC,2022-05-01,Enterprise,China,CNY,Amarilla,Medium,2851,5,7,19957,798.28,19158.72,14255,4903.72
APAC,2022-05-01,Government,China,CNY,Paseo,Medium,671,10,15,10065,402.6,9662.4,6710,2952.4
APAC,2022-05-01,Government,Japan,JPY,Montana,High,671,260,15,10065,402.6,9662.4,6710,2952.4
APAC,2022-05-01,Midmarket,Japan,JPY,Velo,High,1228,10,350,429800,21490,408310,319280,89030
APAC,2022-05-01,Channel Partners,China,CNY,VTT,High,1389,10,20,27780,1389,26391,13890,12501
APAC,2022-05-01,Government,Japan,JPY,Carretera,High,1389,250,20,27780,1389,26391,13890,12501
APAC,2022-05-01,Government,China,CNY,Montana,High,1228,260,350,429800,21490,408310,319280,89030
APAC,2022-05-01,Enterprise,Japan,JPY,Amarilla,High,2299,3,12,27588,1655.28,25932.72,6897,19035.72
APAC,2022-05-01,Channel Partners,Japan,JPY,VTT,High,2299,10,12,27588,1655.28,25932.72,6897,19035.72
APAC,2022-06-01,Channel Partners,China,CNY,Montana,None,570,3,7,3990,199.5,3790.5,2850,940.5
APAC,2022-06-01,Channel Partners,China,CNY,Paseo,None,2663,10,20,53260,2663,50597,26630,23967
APAC,2022-06-01,Enterprise,Japan,JPY,Paseo,Low,2663,250,20,53260,2663,50597,26630,23967
APAC,2022-06-01,Enterprise,Japan,JPY,VTT,Low,570,250,7,3990,199.5,3790.5,2850,940.5
APAC,2022-06-01,Channel Partners,Japan,JPY,Montana,Low,1582,120,7,11074,775.18,10298.82,7910,2388.82
APAC,2022-06-01,Channel Partners,Japan,JPY,Paseo,Low,1582,250,7,11074,775.18,10298.82,7910,2388.82
APAC,2022-06-01,Small Business,Japan,JPY,Carretera,Medium,1372,120,300,411600,28812,382788,343000,39788
APAC,2022-06-01,Small Business,Japan,JPY,Paseo,Medium,1372,260,300,411600,28812,382788,343000,39788
APAC,2022-06-01,Government,Japan,JPY,Paseo,Medium,2797,5,125,349625,31466.25,318158.75,335640,-17481.25
APAC,2022-06-01,Government,Japan,JPY,Velo,Medium,2797,10,125,349625,31466.25,318158.75,335640,-17481.25
APAC,2022-06-01,Midmarket,China,CNY,Carretera,Medium,2300,3,15,34500,4830,29670,23000,6670
APAC,2022-06-01,Midmarket,China,CNY,VTT,Medium,2300,5,15,34500,4830,29670,23000,6670
APAC,2022-06-01,Government,China,CNY,Velo,Medium,914,10,12,10968,1645.2,9322.8,2742,6580.8
APAC,2022-06-01,Government,China,CNY,Amarilla,Medium,914,120,12,10968,1645.2,9322.8,2742,6580.8
APAC,2022-06-01,Government,Japan,JPY,Montana,Medium,615,5,15,9225,0,9225,6150,3075
APAC,2022-06-01,Government,Japan,JPY,Amarilla,Medium,1817,10,20,36340,0,36340,18170,18170
APAC,2022-06-01,Government,China,CNY,Montana,Medium,1817,250,20,36340,0,36340,18170,18170
APAC,2022-06-01,Government,Japan,JPY,Velo,Medium,615,260,15,9225,0,9225,6150,3075
APAC,2022-06-01,Government,China,CNY,Amarilla,Medium,2852,3,350,998200,19964,978236,741520,236716
APAC,2022-06-01,Government,Japan,JPY,Amarilla,Medium,1916,10,300,574800,11496,563304,479000,84304
APAC,2022-06-01,Small Business,China,CNY,Carretera,Medium,2852,10,350,998200,19964,978236,741520,236716
APAC,2022-06-01,Small Business,China,CNY,Paseo,Medium,2729,10,125,341125,6822.5,334302.5,327480,6822.5
APAC,2022-06-01,Midmarket,Japan,JPY,Carretera,High,2729,250,125,341125,6822.5,334302.5,327480,6822.5
APAC,2022-06-01,Midmarket,Japan,JPY,VTT,High,1916,260,300,574800,11496,563304,479000,84304
APAC,2022-06-01,Government,China,CNY,Paseo,High,274,3,350,95900,3836,92064,71240,20824
APAC,2022-06-01,Enterprise,China,CNY,Paseo,High,274,10,350,95900,3836,92064,71240,20824
APAC,2022-06-01,Government,China,CNY,Velo,High,2431,10,12,29172,1458.6,27713.4,7293,20420.4
APAC,2022-06-01,Enterprise,China,CNY,VTT,High,2431,120,12,29172,1458.6,27713.4,7293,20420.4
APAC,2022-07-01,Enterprise,China,CNY,Montana,None,2905,10,300,871500,8715,862785,726250,136535
APAC,2022-07-01,Government,Japan,JPY,Carretera,Low,1236,260,20,24720,494.4,24225.6,12360,11865.6
APAC,2022-07-01,Channel Partners,Japan,JPY,Paseo,Low,2030,3,15,30450,1827,28623,20300,8323
APAC,2022-07-01,Government,Japan,JPY,Paseo,Low,2723,5,12,32676,1960.56,30715.44,8169,22546.44
APAC,2022-07-01,Enterprise,Japan,JPY,Montana,Medium,547,120,7,3829,268.03,3560.97,2735,825.97
APAC,2022-07-01,Government,Japan,JPY,VTT,Medium,1118,260,20,22360,1565.2,20794.8,11180,9614.8
APAC,2022-07-01,Small Business,China,CNY,Velo,Medium,2321,5,12,27852,2506.68,25345.32,6963,18382.32
APAC,2022-07-01,Government,China,CNY,Carretera,Medium,2529,250,125,316125,31612.5,284512.5,303480,-18967.5
APAC,2022-07-01,Midmarket,China,CNY,Amarilla,Medium,1366,10,300,409800,45078,364722,341500,23222
APAC,2022-07-01,Midmarket,Japan,JPY,Amarilla,High,1808,120,7,12656,1392.16,11263.84,9040,2223.84
APAC,2022-07-01,Government,China,CNY,Paseo,High,2689,3,15,40335,4840.2,35494.8,26890,8604.8
APAC,2022-07-01,Channel Partners,China,CNY,Paseo,High,2387,250,125,298375,35805,262570,286440,-23870
APAC,2022-07-01,Small Business,Japan,JPY,Velo,High,700,10,350,245000,34300,210700,182000,28700
APAC,2022-07-01,Government,China,CNY,VTT,High,1177,10,350,411950,57673,354277,306020,48257
APAC,2022-08-01,Enterprise,Japan,JPY,Velo,None,1143,10,7,8001,0,8001,5715,2286
APAC,2022-08-01,Channel Partners,Japan,JPY,Amarilla,None,1143,260,7,8001,0,8001,5715,2286
APAC,2022-08-01,Government,China,CNY,Montana,Low,1295,3,12,15540,310.8,15229.2,3885,11344.2
APAC,2022-08-01,Enterprise,China,CNY,Velo,Low,1566,5,20,31320,626.4,30693.6,15660,15033.6
APAC,2022-08-01,Small Business,China,CNY,VTT,Low,1295,10,12,15540,310.8,15229.2,3885,11344.2
APAC,2022-08-01,Government,Japan,JPY,Velo,Medium,1566,120,20,31320,626.4,30693.6,15660,15033.6
APAC,2022-08-01,Government,China,CNY,Amarilla,Medium,2009,10,125,251125,7533.75,243591.25,241080,2511.25
APAC,2022-08-01,Midmarket,Japan,JPY,Paseo,Medium,2009,120,125,251125,7533.75,243591.25,241080,2511.25
APAC,2022-08-01,Channel Partners,China,CNY,Carretera,Medium,861,10,125,107625,5381.25,102243.75,103320,-1076.25
APAC,2022-08-01,Government,Japan,JPY,Paseo,Medium,861,120,125,107625,5381.25,102243.75,103320,-1076.25
APAC,2022-08-01,Government,Japan,JPY,VTT,High,1153,10,15,17295,1037.7,16257.3,11530,4727.3
APAC,2022-08-01,Government,China,CNY,Paseo,High,1153,250,15,17295,1037.7,16257.3,11530,4727.3
APAC,2022-08-01,Small Business,Japan,JPY,VTT,High,1269,120,350,444150,39973.5,404176.5,329940,74236.5
APAC,2022-08-01,Midmarket,China,CNY,Paseo,High,1269,260,350,444150,39973.5,404176.5,329940,74236.5
APAC,2022-09-01,Channel Partners,China,CNY,Carretera,Low,2734,5,7,19138,2296.56,16841.44,13670,3171.44
APAC,2022-09-01,Channel Partners,Japan,JPY,Carretera,Low,986,120,350,345100,41412,303688,256360,47328
APAC,2022-09-01,Midmarket,China,CNY,Paseo,Low,986,250,350,345100,41412,303688,256360,47328
APAC,2022-09-01,Government,China,CNY,Paseo,Low,2734,260,7,19138,2296.56,16841.44,13670,3171.44
APAC,2022-09-01,Government,Japan,JPY,Paseo,Low,1249,5,20,24980,3247.4,21732.6,12490,9242.6
APAC,2022-09-01,Small Business,China,CNY,VTT,Medium,1565,10,15,23475,3051.75,20423.25,15650,4773.25
APAC,2022-09-01,Enterprise,China,CNY,Velo,Medium,1249,10,20,24980,3247.4,21732.6,12490,9242.6
APAC,2022-09-01,Small Business,Japan,JPY,VTT,Medium,1565,250,15,23475,3051.75,20423.25,15650,4773.25
APAC,2022-09-01,Government,Japan,JPY,Amarilla,Medium,1496,3,300,448800,62832,385968,374000,11968
APAC,2022-09-01,Government,Japan,JPY,Montana,High,1010,3,300,303000,42420,260580,252500,8080
APAC,2022-09-01,Enterprise,Japan,JPY,Velo,High,2914,10,12,34968,4895.52,30072.48,8742,21330.48
APAC,2022-09-01,Government,China,CNY,Amarilla,High,1496,250,300,448800,62832,385968,374000,11968
APAC,2022-09-01,Midmarket,Japan,JPY,Paseo,High,1010,250,300,303000,42420,260580,252500,8080
APAC,2022-09-01,Government,China,CNY,Montana,High,2914,260,12,34968,4895.52,30072.48,8742,21330.48
APAC,2022-10-01,Government,Japan,JPY,Paseo,None,2821,120,125,352625,0,352625,338520,14105
APAC,2022-10-01,Government,Japan,JPY,Amarilla,None,2141,260,12,25692,0,25692,6423,19269
APAC,2022-10-01,Channel Partners,China,CNY,Carretera,Low,1830,5,7,12810,128.1,12681.9,9150,3531.9
APAC,2022-10-01,Government,Japan,JPY,Montana,Low,923,120,125,115375,1153.75,114221.25,110760,3461.25
APAC,2022-10-01,Channel Partners,China,CNY,Paseo,Low,1874,250,300,562200,16866,545334,468500,76834
APAC,2022-10-01,Government,Japan,JPY,Velo,Low,2832,120,20,56640,2832,53808,28320,25488
APAC,2022-10-01,Enterprise,China,CNY,Paseo,Low,552,260,350,193200,9660,183540,143520,40020
APAC,2022-10-01,Enterprise,China,CNY,Velo,Low,2198,10,15,32970,1978.2,30991.8,21980,9011.8
APAC,2022-10-01,Enterprise,Japan,JPY,Paseo,Medium,1884,3,12,22608,1582.56,21025.44,5652,15373.44
APAC,2022-10-01,Enterprise,Japan,JPY,Velo,Medium,678,10,7,4746,379.68,4366.32,3390,976.32
APAC,2022-10-01,Midmarket,Japan,JPY,Paseo,Medium,2807,250,350,982450,98245,884205,729820,154385
APAC,2022-10-01,Midmarket,Japan,JPY,VTT,Medium,2394,10,20,47880,5266.8,42613.2,23940,18673.2
APAC,2022-10-01,Government,China,CNY,Velo,Medium,2541,250,300,762300,106722,655578,635250,20328
APAC,2022-10-01,Government,China,CNY,Amarilla,Medium,2559,10,15,38385,5757.75,32627.25,25590,7037.25
APAC,2022-10-01,Government,China,CNY,Montana,High,1445,3,12,17340,173.4,17166.6,4335,12831.6
APAC,2022-10-01,Government,Japan,JPY,Velo,High,1947,3,12,23364,700.92,22663.08,5841,16822.08
APAC,2022-10-01,Government,Japan,JPY,VTT,High,218,10,15,3270,130.8,3139.2,2180,959.2
APAC,2022-10-01,Government,China,CNY,Amarilla,High,2074,10,20,41480,1659.2,39820.8,20740,19080.8
APAC,2022-10-01,Government,China,CNY,Montana,High,1056,10,20,21120,844.8,20275.2,10560,9715.2
APAC,2022-10-01,Midmarket,China,CNY,Paseo,High,2134,250,300,640200,51216,588984,533500,55484
APAC,2022-10-01,Government,China,CNY,Paseo,High,567,120,125,70875,6378.75,64496.25,68040,-3543.75
APAC,2022-10-01,Midmarket,China,CNY,VTT,High,1867,250,300,560100,50409,509691,466750,42941
APAC,2022-10-01,Small Business,China,CNY,Carretera,High,2071,260,350,724850,65236.5,659613.5,538460,121153.5
APAC,2022-10-01,Small Business,Japan,JPY,Carretera,High,2328,5,7,16296,1629.6,14666.4,11640,3026.4
APAC,2022-10-01,Channel Partners,Japan,JPY,Paseo,High,1596,120,125,199500,19950,179550,191520,-11970
APAC,2022-10-01,Small Business,China,CNY,VTT,High,707,260,350,247450,24745,222705,183820,38885
APAC,2022-10-01,Small Business,Japan,JPY,VTT,High,1767,10,15,26505,3710.7,22794.3,17670,5124.3
APAC,2022-10-01,Channel Partners,Japan,JPY,Amarilla,High,388,5,7,2716,380.24,2335.76,1940,395.76
APAC,2022-11-01,Small Business,Japan,JPY,Paseo,Low,2665.5,5,125,333187.5,0,333187.5,319860,13327.5
APAC,2022-11-01,Government,Japan,JPY,Amarilla,Low,2529,3,7,17703,177.03,17525.97,12645,4880.97
APAC,2022-11-01,Midmarket,Japan,JPY,Carretera,Medium,1369.5,10,12,16434,493.02,15940.98,4108.5,11832.48
APAC,2022-11-01,Channel Partners,Japan,JPY,Montana,Medium,3450,10,350,1207500,48300,1159200,897000,262200
APAC,2022-11-01,Government,Japan,JPY,Velo,Medium,3627,5,125,453375,22668.75,430706.25,435240,-4533.75
APAC,2022-11-01,Government,China,CNY,Amarilla,Medium,436.5,250,20,8730,698.4,8031.6,4365,3666.6
APAC,2022-11-01,Channel Partners,China,CNY,Montana,Medium,3793.5,120,300,1138050,102424.5,1035625.5,948375,87250.5
APAC,2022-11-01,Enterprise,China,CNY,VTT,High,819,3,7,5733,515.97,5217.03,4095,1122.03
APAC,2022-11-01,Small Business,China,CNY,Paseo,High,1630.5,260,15,24457.5,2201.175,22256.325,16305,5951.325
APAC,2022-11-01,Government,China,CNY,Velo,High,3199.5,260,15,47992.5,5279.175,42713.325,31995,10718.325
APAC,2022-11-01,Midmarket,China,CNY,Carretera,High,2104.5,10,350,736575,81023.25,655551.75,547170,108381.75
APAC,2022-11-01,Enterprise,Japan,JPY,VTT,High,4026,10,12,48312,5314.32,42997.68,12078,30919.68
APAC,2022-11-01,Government,China,CNY,Paseo,High,2460,120,300,738000,103320,634680,615000,19680
APAC,2022-11-01,Government,Japan,JPY,Paseo,High,865.5,250,20,17310,2596.5,14713.5,8655,6058.5
APAC,2022-12-01,Midmarket,Japan,JPY,Montana,None,2518,5,12,30216,0,30216,7554,22662
APAC,2022-12-01,Government,China,CNY,Paseo,None,2518,10,12,30216,0,30216,7554,22662
APAC,2022-12-01,Government,China,CNY,VTT,None,727,10,125,90875,908.75,89966.25,87240,2726.25
APAC,2022-12-01,Midmarket,Japan,JPY,Amarilla,None,727,250,125,90875,908.75,89966.25,87240,2726.25
APAC,2022-12-01,Government,China,CNY,Carretera,Low,1142,5,12,13704,274.08,13429.92,3426,10003.92
APAC,2022-12-01,Small Business,China,CNY,Paseo,Low,1142,10,12,13704,274.08,13429.92,3426,10003.92
APAC,2022-12-01,Government,China,CNY,Paseo,Low,991,3,300,297300,14865,282435,247750,34685
APAC,2022-12-01,Enterprise,China,CNY,Paseo,Low,991,10,300,297300,14865,282435,247750,34685
APAC,2022-12-01,Enterprise,China,CNY,VTT,Low,602,10,350,210700,10535,200165,156520,43645
APAC,2022-12-01,Small Business,China,CNY,Amarilla,Low,602,120,350,210700,10535,200165,156520,43645
APAC,2022-12-01,Government,Japan,JPY,Carretera,Low,2844,3,15,42660,2559.6,40100.4,28440,11660.4
APAC,2022-12-01,Government,Japan,JPY,Paseo,Low,2844,250,15,42660,2559.6,40100.4,28440,11660.4
APAC,2022-12-01,Channel Partners,China,CNY,Paseo,Medium,1135,120,7,7945,556.15,7388.85,5675,1713.85
APAC,2022-12-01,Channel Partners,China,CNY,Velo,Medium,1135,260,7,7945,556.15,7388.85,5675,1713.85
APAC,2022-12-01,Government,Japan,JPY,Carretera,Medium,1282,5,20,25640,2051.2,23588.8,12820,10768.8
APAC,2022-12-01,Government,Japan,JPY,Paseo,Medium,1282,260,20,25640,2051.2,23588.8,12820,10768.8
APAC,2022-12-01,Government,Japan,JPY,VTT,Medium,708,5,20,14160,1132.8,13027.2,7080,5947.2
APAC,2022-12-01,Government,Japan,JPY,VTT,Medium,2907,120,7,20349,1627.92,18721.08,14535,4186.08
APAC,2022-12-01,Government,China,CNY,Velo,Medium,708,260,20,14160,1132.8,13027.2,7080,5947.2
APAC,2022-12-01,Government,China,CNY,VTT,Medium,2907,260,7,20349,1627.92,18721.08,14535,4186.08
APAC,2022-12-01,Small Business,Japan,JPY,Velo,Medium,1094,3,300,328200,29538,298662,273500,25162
APAC,2022-12-01,Small Business,Japan,JPY,Amarilla,Medium,1094,10,300,328200,29538,298662,273500,25162
APAC,2022-12-01,Enterprise,Japan,JPY,Montana,Medium,2567,3,15,38505,5005.65,33499.35,25670,7829.35
APAC,2022-12-01,Enterprise,Japan,JPY,Paseo,Medium,2567,250,15,38505,5005.65,33499.35,25670,7829.35
APAC,2022-12-01,Midmarket,China,CNY,Carretera,High,2632,10,350,921200,119756,801444,684320,117124
APAC,2022-12-01,Midmarket,China,CNY,Montana,High,1583,10,125,197875,25723.75,172151.25,189960,-17808.75
APAC,2022-12-01,Channel Partners,Japan,JPY,Paseo,High,2632,120,350,921200,119756,801444,684320,117124
APAC,2022-12-01,Channel Partners,Japan,JPY,Velo,High,1583,250,125,197875,25723.75,172151.25,189960,-17808.75
APAC,2023-01-01,Enterprise,China,CNY,Montana,None,831,3,20,16620,498.6,16121.4,8310,7811.4
APAC,2023-01-01,Enterprise,China,CNY,Velo,None,2918,10,300,875400,35016,840384,729500,110884
APAC,2023-01-01,Enterprise,Japan,JPY,Montana,Low,2327,10,7,16289,814.45,15474.55,11635,3839.55
APAC,2023-01-01,Enterprise,Japan,JPY,Velo,Low,1262,120,15,18930,1325.1,17604.9,12620,4984.9
APAC,2023-01-01,Government,China,CNY,Carretera,Low,1702,10,300,510600,35742,474858,425500,49358
APAC,2023-01-01,Government,China,CNY,Montana,Low,1645,260,125,205625,14393.75,191231.25,197400,-6168.75
APAC,2023-01-01,Midmarket,Japan,JPY,Paseo,Low,257,10,7,1799,143.92,1655.08,1285,370.08
APAC,2023-01-01,Midmarket,Japan,JPY,Amarilla,Low,2313,5,350,809550,80955,728595,601380,127215
APAC,2023-01-01,Government,China,CNY,Paseo,Medium,790,120,15,11850,1185,10665,7900,2765
APAC,2023-01-01,Government,China,CNY,Paseo,Medium,2109,250,12,25308,3036.96,22271.04,6327,15944.04
APAC,2023-01-01,Government,China,CNY,VTT,Medium,1743,3,20,34860,4880.4,29979.6,17430,12549.6
APAC,2023-01-01,Government,China,CNY,Amarilla,Medium,200,5,350,70000,9800,60200,52000,8200
APAC,2023-01-01,Channel Partners,China,CNY,Carretera,Medium,2844,260,125,355500,49770,305730,341280,-35550
APAC,2023-01-01,Channel Partners,China,CNY,Paseo,Medium,1806,250,12,21672,3250.8,18421.2,5418,13003.2
APAC,2023-01-01,Government,Japan,JPY,Paseo,Medium,1953,260,12,23436,0,23436,5859,17577
APAC,2023-01-01,Government,Japan,JPY,Amarilla,Medium,2301,5,300,690300,6903,683397,575250,108147
APAC,2023-01-01,Channel Partners,Japan,JPY,Carretera,High,4492.5,10,7,31447.5,314.475,31133.025,22462.5,8670.525
APAC,2023-01-01,Channel Partners,Japan,JPY,Paseo,High,943.5,250,350,330225,3302.25,326922.75,245310,81612.75
APAC,2023-01-01,Small Business,Japan,JPY,Velo,High,742.5,3,125,92812.5,1856.25,90956.25,89100,1856.25
APAC,2023-01-01,Small Business,Japan,JPY,VTT,High,3850.5,120,20,77010,2310.3,74699.7,38505,36194.7
APAC,2023-01-01,Government,Japan,JPY,Carretera,High,3802.5,5,300,1140750,102667.5,1038082.5,950625,87457.5
APAC,2023-01-01,Government,Japan,JPY,Montana,High,3675,10,15,55125,4961.25,50163.75,36750,13413.75
APAC,2023-01-01,Midmarket,China,CNY,Paseo,High,1351.5,250,350,473025,42572.25,430452.75,351390,79062.75
APAC,2023-01-01,Small Business,China,CNY,Velo,High,3445.5,3,125,430687.5,43068.75,387618.75,413460,-25841.25
APAC,2023-01-01,Small Business,China,CNY,VTT,High,3520.5,260,12,42246,4224.6,38021.4,10561.5,27459.9
APAC,2023-01-01,Midmarket,China,CNY,Amarilla,High,606,120,20,12120,1696.8,10423.2,6060,4363.2
APAC,2023-01-01,Government,Japan,JPY,Paseo,High,1614,10,15,24210,3631.5,20578.5,16140,4438.5
APAC,2023-01-01,Government,Japan,JPY,VTT,High,723,10,7,5061,759.15,4301.85,3615,686.85
APAC,2023-02-01,Government,China,CNY,Paseo,None,1326,250,7,9282,92.82,9189.18,6630,2559.18
APAC,2023-02-01,Channel Partners,Japan,JPY,Paseo,None,1774,10,125,221750,6652.5,215097.5,212880,2217.5
APAC,2023-02-01,Government,China,CNY,Velo,Low,1967,5,15,29505,1180.2,28324.8,19670,8654.8
APAC,2023-02-01,Government,Japan,JPY,VTT,Medium,1465,120,12,17580,703.2,16876.8,4395,12481.8
APAC,2023-02-01,Government,Japan,JPY,Carretera,Medium,2992,10,125,374000,18700,355300,359040,-3740
APAC,2023-02-01,Small Business,China,CNY,Paseo,Medium,1761,3,350,616350,43144.5,573205.5,457860,115345.5
APAC,2023-02-01,Enterprise,Japan,JPY,Montana,High,598,120,12,7176,574.08,6601.92,1794,4807.92
APAC,2023-02-01,Midmarket,China,CNY,Carretera,High,973,10,20,19460,1751.4,17708.6,9730,7978.6
APAC,2023-02-01,Government,China,CNY,VTT,High,2993,260,300,897900,89790,808110,748250,59860
APAC,2023-02-01,Midmarket,Japan,JPY,Amarilla,High,1579,250,7,11053,1215.83,9837.17,7895,1942.17
APAC,2023-02-01,Channel Partners,China,CNY,Paseo,High,677,5,15,10155,1218.6,8936.4,6770,2166.4
APAC,2023-02-01,Government,Japan,JPY,Paseo,High,923,3,350,323050,41996.5,281053.5,239980,41073.5
APAC,2023-02-01,Small Business,Japan,JPY,Velo,High,2428,10,20,48560,6798.4,41761.6,24280,17481.6
APAC,2023-02-01,Enterprise,China,CNY,VTT,High,888,260,300,266400,37296,229104,222000,7104
APAC,2023-03-01,Midmarket,China,CNY,Paseo,None,1618.5,3,20,32370,0,32370,16185,16185
APAC,2023-03-01,Midmarket,Japan,JPY,Paseo,Low,4251,10,7,29757,1190.28,28566.72,21255,7311.72
APAC,2023-03-01,Government,Japan,JPY,Paseo,Low,555,120,15,8325,416.25,7908.75,5550,2358.75
APAC,2023-03-01,Government,Japan,JPY,VTT,Low,1117.5,3,20,22350,1341,21009,11175,9834
APAC,2023-03-01,Channel Partners,China,CNY,Carretera,Low,3244.5,250,12,38934,2725.38,36208.62,9733.5,26475.12
APAC,2023-03-01,Government,China,CNY,Amarilla,Low,1956,250,12,23472,2112.48,21359.52,5868,15491.52
APAC,2023-03-01,Government,China,CNY,Paseo,Medium,579,260,125,72375,7237.5,65137.5,69480,-4342.5
APAC,2023-03-01,Small Business,China,CNY,VTT,Medium,384,120,15,5760,633.6,5126.4,3840,1286.4
APAC,2023-03-01,Government,Japan,JPY,Velo,Medium,873,10,300,261900,28809,233091,218250,14841
APAC,2023-03-01,Small Business,Japan,JPY,VTT,Medium,3495,10,300,1048500,125820,922680,873750,48930
APAC,2023-03-01,Government,China,CNY,Montana,Medium,982.5,5,350,343875,44703.75,299171.25,255450,43721.25
APAC,2023-03-01,Enterprise,China,CNY,Velo,High,1438.5,10,7,10069.5,1309.035,8760.465,7192.5,1567.965
APAC,2023-03-01,Channel Partners,Japan,JPY,Amarilla,High,1659,260,125,207375,26958.75,180416.25,199080,-18663.75
APAC,2023-03-01,Enterprise,Japan,JPY,Velo,High,2227.5,5,350,779625,109147.5,670477.5,579150,91327.5
APAC,2023-04-01,Enterprise,Japan,JPY,Carretera,Low,292,10,20,5840,0,5840,2920,2920
