Candy Name,chocolate,fruity,caramel,peanutyalmondy,crispedricewafer,hard,bar,pluribus,suggar percentage,price percentage,favorite percentage
Runts,0,1,0,0,0,1,0,1,0.872,0.279,42.849
Sixlets,1,0,0,0,0,0,0,1,0.22,0.081,34.722
Skittles original,0,1,0,0,0,0,0,1,0.941,0.22,63.085
Skittles wildberry,0,1,0,0,0,0,0,1,0.941,0.22,55.104
Nestle Smarties,1,0,0,0,0,0,0,1,0.267,0.976,37.887
Smarties candy,0,1,0,0,0,1,0,1,0.267,0.116,45.996
Snickers,1,0,1,1,0,0,1,0,0.546,0.651,76.674
Snickers Crisper,1,0,1,1,1,0,1,0,0.604,0.651,59.529
Sour Patch Kids,0,1,0,0,0,0,0,1,0.069,0.116,59.864
Sour Patch Tricksters,0,1,0,0,0,0,0,1,0.069,0.116,52.826
Starburst,0,1,0,0,0,0,0,1,0.151,0.22,67.038
Strawberry bon bons,0,1,0,0,0,1,0,1,0.569,0.058,34.579
Sugar Babies,0,0,1,0,0,0,0,1,0.965,0.767,33.438
Sugar Daddy,0,0,1,0,0,0,0,0,0.418,0.325,32.231
Super Bubble,0,1,0,0,0,0,0,0,0.162,0.116,27.304
Swedish Fish,0,1,0,0,0,0,0,1,0.604,0.755,54.861
Tootsie Pop,1,1,0,0,0,1,0,0,0.604,0.325,48.983
Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0.313,0.511,43.069
Tootsie Roll Midgies,1,0,0,0,0,0,0,1,0.174,0.011,45.737
Tootsie Roll Snack Bars,1,0,0,0,0,0,1,0,0.465,0.325,49.654
Trolli Sour Bites,0,1,0,0,0,0,0,1,0.313,0.255,47.173
Twix,1,0,1,0,1,0,1,0,0.546,0.906,81.643
Twizzlers,0,1,0,0,0,0,0,0,0.22,0.116,45.466
Warheads,0,1,0,0,0,1,0,0,0.093,0.116,39.012
"Welch's Fruit Snacks",0,1,0,0,0,0,0,1,0.313,0.313,44.376
"Welch's Original Caramel",0,0,1,0,0,1,0,0,0.186,0.267,41.904
Whoppers,1,0,0,0,1,0,0,1,0.872,0.848,49.524
